STATE,DISTRICT,ASSESSMENT_UNIT,Rainfall_mm,Recharge_Worthy_Area_Command_ha,Recharge_Worthy_Area_Total_ha,Hilly_Area_ha,Total_Geographical_Area_ha,Annual_Ground_Water_Recharge_ham,Environmental_Flows_ham,Annual_Extractable_Ground_Water_Resource_ham,Extraction_Domestic_ham,Extraction_Industrial_ham,Extraction_Irrigation_ham,Total_Ground_Water_Extraction_ham,Stage_of_Ground_Water_Extraction_pct,Allocation_Domestic_2025_ham,Net_GW_Availability_Future_Use_ham,Major_Quality_Parameters,Other_Quality_Parameters
Telangana,Sangareddy,District Summary,861.84,4977.0,411060.79,37913.29,448974.08,43840.9,4144.1,39696.82,2164.99,1682.58,15934.16,19781.7,49.93,2896.83,20572.87,,
Telangana,Siddipet,District Summary,778.31,0.0,340727.36,24451.48,365178.84,60848.62,5692.24,55156.42,758.98,983.95,35749.4,37492.36,68.04,775.9,18005.39,,
Telangana,Suryapet,District Summary,780.28,186807.0,360750.0,834.0,361584.0,88542.78,8541.17,80001.6,1976.98,1230.56,22727.57,25935.12,33.41,2595.45,53607.42,,
Telangana,Vikarabad,District Summary,777.06,0.0,367296.15,102.82,367398.98,44684.9,4468.11,40216.87,553.91,112.5,19239.14,19905.68,51.24,1851.01,19968.12,,
Telangana,Wanaparthy,District Summary,631.04,75539.17,212213.96,6810.0,219023.96,67529.94,6549.41,60980.56,380.67,384.87,25136.07,25901.5,42.39,1802.61,31263.3,,
Telangana,Warangal,District Summary,986.3,153293.76,171337.44,5272.96,176610.41,53368.96,5112.38,48256.52,906.96,1271.68,25138.52,27316.99,56.53,1503.68,21312.18,,
Telangana,Yadadri Bhuvanagiri,District Summary,743.53,45295.14,343281.99,2165.15,345447.15,78919.85,7584.59,71335.26,2584.54,4363.37,40945.25,47893.16,67.21,2760.32,27746.26,,
Tripura,Dhalai,District Summary,2429.15,0.0,99581.0,131908.0,231489.0,20448.08,2254.96,18193.12,964.27,0.15,256.86,1221.28,6.7,1134.01,16802.08,,
Tripura,Gomati,District Summary,2181.08,0.0,109828.0,51877.0,161705.0,23355.16,2454.81,20900.34,909.92,0.38,275.76,1186.05,5.66,1008.3,19615.9,,
Tripura,Khowai,District Summary,2223.84,0.0,49560.0,51685.0,101245.0,12184.84,1160.72,11024.12,664.22,24.16,230.44,918.82,8.35,724.83,10044.7,,
Tripura,North Tripura,District Summary,2539.32,0.0,54382.0,81410.0,135792.0,10861.13,1375.06,9486.06,1012.85,11.27,52.32,1076.43,11.38,1148.13,8274.33,,
Tripura,Sepahijala,District Summary,2043.68,0.0,87170.0,17222.0,104392.0,18621.66,2088.08,16533.58,1032.3,3.86,669.88,1706.04,10.44,1126.51,14733.34,,
Tripura,South Tripura,District Summary,2450.04,0.0,98103.0,53098.0,151201.0,23916.15,2647.27,21268.88,961.98,5.54,806.95,1774.47,8.26,1065.98,19390.4,,
Tripura,Unakoti,District Summary,2384.05,0.0,42878.0,22825.0,65703.0,9592.3,985.18,8607.12,675.32,6.36,91.15,772.84,9.04,765.52,7744.08,,
Tripura,West Tripura,District Summary,2034.52,0.0,78282.0,19360.0,97642.0,16745.12,1665.86,15079.27,2252.69,212.38,720.77,3185.82,21.12,2496.26,11649.88,,
Uttar Pradesh,Agra,District Summary,614.65,387618.5,394717.0,0.0,394717.0,91173.63,7942.93,83230.7,11153.5,209.66,83727.1,95090.23,114.34,12580.44,5046.12,,
Uttar Pradesh,Aligarh,District Summary,667.47,380843.0,380843.0,0.0,380843.0,99754.0,7820.48,91933.52,11961.18,708.37,60981.52,73651.08,80.12,12859.8,20439.97,,
Uttar Pradesh,Ambedkar Nagar,District Summary,1013.3,245898.0,245898.0,0.0,245898.0,80565.5,8056.56,72508.93,6439.38,62.5,39142.36,45644.24,62.95,6670.83,26633.25,,
Uttar Pradesh,Amethi,District Summary,853.0,232992.0,232992.0,0.0,232992.0,89760.48,8818.12,80942.36,5048.76,577.23,47611.9,53237.88,65.78,5275.62,27477.62,,
Uttar Pradesh,Amroha,District Summary,902.59,214903.0,214903.0,0.0,214903.0,54953.5,4987.1,49966.4,4936.31,1614.5,40664.02,47214.82,94.48,5188.02,4937.16,,
Uttar Pradesh,Auraiya,District Summary,624.88,209427.0,209427.0,0.0,209427.0,68308.39,6830.85,61477.54,2963.23,8.91,35537.54,38509.67,62.64,3069.38,22861.72,,
Uttar Pradesh,Ayodhya,District Summary,952.71,252201.0,252201.0,0.0,252201.0,94835.82,9203.11,85632.7,7330.96,603.66,45262.7,53197.34,62.12,7822.51,31943.81,,
Uttar Pradesh,Azamgarh,District Summary,907.1,417119.0,417119.0,0.0,417119.0,140328.11,13486.7,126841.41,13964.49,28.98,61226.06,75219.5,59.3,14836.82,50749.58,,
Uttar Pradesh,Bagpat,District Summary,674.76,135138.96,135138.96,0.0,135138.96,35838.41,3429.98,32408.43,2551.32,140.2,28396.72,31088.25,95.92,2622.29,3710.1,,
Uttar Pradesh,Bahraich,District Summary,1158.8,438725.0,438725.0,0.0,438725.0,151658.84,9675.48,141983.36,9948.83,279.46,73217.81,83446.08,58.78,10470.83,58015.28,,
Uttar Pradesh,Ballia,District Summary,922.03,292700.0,292700.0,0.0,292700.0,95300.92,9266.59,86034.32,8339.21,12.44,45166.29,53517.94,62.2,8899.15,31956.44,,
Uttar Pradesh,Balrampur,District Summary,1065.2,334857.0,334857.0,0.0,334857.0,103852.88,8199.7,95653.18,6339.06,504.58,46793.86,53637.5,56.13,6750.02,41604.72,,
Uttar Pradesh,Banda,District Summary,943.2,440460.0,440460.0,0.0,440460.0,72918.2,6557.32,66360.88,4062.67,2.31,40106.66,44170.48,66.56,4256.96,21996.1,,
Uttar Pradesh,Barabanki,District Summary,978.39,389132.0,389132.0,0.0,389132.0,210879.16,20041.43,190837.74,9196.62,447.36,108909.98,118553.98,62.12,9670.51,71809.88,,
Uttar Pradesh,Bareilly,District Summary,877.86,412000.0,412000.0,0.0,412000.0,121366.36,9398.4,111967.96,13642.43,1973.84,65058.59,80674.85,72.04,14209.9,32843.12,,
Uttar Pradesh,Basti,District Summary,1110.78,293807.0,293807.0,0.0,293807.0,83803.64,8071.94,75731.69,6620.08,157.74,42509.6,49287.43,65.09,6902.14,26162.2,,
Uttar Pradesh,Bijnor,District Summary,1053.5,458903.0,458903.0,0.0,458903.0,150350.54,14234.23,136116.3,8061.78,1263.92,85810.56,95136.28,69.9,9111.44,39930.37,,
Uttar Pradesh,Budaun,District Summary,784.54,423788.0,423788.0,0.0,423788.0,81281.41,6201.56,75079.85,7987.1,47.75,52938.54,60973.37,81.18,9276.49,13962.6,,
Uttar Pradesh,Bulandshahar,District Summary,673.13,360947.0,360947.0,0.0,360947.0,159850.17,13272.85,146577.32,6247.43,957.19,130657.28,137861.9,94.06,6875.49,14493.5,,
Uttar Pradesh,Chandauli,District Summary,949.06,188369.0,188369.0,0.0,188369.0,56681.32,5187.09,51494.24,4728.35,119.62,25520.46,30368.43,58.97,5346.26,20507.9,,
Uttar Pradesh,Chitrakoot,District Summary,943.2,300665.0,300665.0,0.0,300665.0,43767.72,4095.92,39671.8,2657.34,63.31,29812.5,32533.12,82.0,3255.06,6663.29,,
Uttar Pradesh,Deoria,District Summary,1019.38,253800.0,253800.0,0.0,253800.0,146249.74,13152.02,133097.72,6651.75,39.7,76777.94,83469.38,62.72,7380.04,48900.04,,
Uttar Pradesh,Etah,District Summary,658.23,242757.0,242757.0,0.0,242757.0,86999.54,7861.62,79137.92,4696.94,60.94,52132.75,56890.64,71.9,5242.7,21701.53,,
Uttar Pradesh,Etawah,District Summary,587.48,240301.0,240301.0,0.0,240301.0,71896.76,6593.88,65302.88,3306.84,158.55,30983.56,34448.94,52.75,3766.0,30394.78,,
Uttar Pradesh,Farrukhabad,District Summary,753.48,220623.0,220623.0,0.0,220623.0,48531.72,3696.17,44835.56,4068.81,13.88,29240.62,33323.3,74.32,4244.47,11336.59,,
Uttar Pradesh,Fatehpur,District Summary,746.9,425255.0,425255.0,0.0,425255.0,118372.55,10224.36,108148.18,7536.05,19.24,71883.07,79438.37,73.47,8947.24,28582.81,,
Uttar Pradesh,Firozabad,District Summary,656.92,241953.0,241953.0,0.0,241953.0,83966.42,8238.46,75727.96,6869.5,66.09,70497.85,77433.45,102.4,7151.21,10106.64,,
Uttar Pradesh,G.B.Nagar,District Summary,537.16,144273.0,144273.0,0.0,144273.0,50576.6,5057.66,45518.94,1561.7,2415.39,45533.8,48303.2,106.14,1680.78,2901.42,,
Uttar Pradesh,Ghaziabad,District Summary,729.83,116914.0,116914.0,0.0,116914.0,42493.12,4249.32,38243.8,7265.75,3066.27,37051.18,47383.18,123.9,9283.78,1821.62,,
Uttar Pradesh,Ghazipur,District Summary,853.77,330052.0,330052.0,0.0,330052.0,105336.9,9976.4,95360.5,7067.5,63.26,50041.08,57171.85,59.96,8138.66,37117.48,,
Uttar Pradesh,Gonda,District Summary,1047.0,399609.0,399609.0,0.0,399609.0,125955.14,10661.6,115293.54,10032.26,591.26,59888.76,70512.29,61.16,12127.34,42686.16,,
Uttar Pradesh,Gorakhpur,District Summary,1338.3,321087.0,321087.0,0.0,321087.0,177719.71,15441.56,162278.16,9601.99,1042.64,92108.22,102752.86,63.32,10959.76,58167.52,,
Uttar Pradesh,Hamirpur,District Summary,735.88,381540.0,381540.0,0.0,381540.0,45977.12,4469.16,41507.96,2223.18,261.23,25197.53,27681.93,66.69,2268.15,13781.06,,
Uttar Pradesh,Hapur,District Summary,788.32,114481.0,114481.0,0.0,114481.0,51532.46,4462.04,47070.42,3.46,1301.82,43326.85,44632.13,94.83,3.56,2438.2,,
Uttar Pradesh,Hardoi,District Summary,816.35,594843.0,594843.0,0.0,594843.0,179011.72,15575.4,163436.32,8811.24,1110.58,90359.5,100281.32,61.36,10146.17,61820.05,,
Uttar Pradesh,Hathras,District Summary,618.98,183799.0,183799.0,0.0,183799.0,72585.72,6591.84,65993.88,4236.07,139.74,56797.88,61173.7,92.7,4390.96,9237.17,,
Uttar Pradesh,Jalaun,District Summary,687.2,456583.0,456583.0,0.0,456583.0,104188.73,9911.47,94277.26,4392.92,23.98,48671.1,53088.0,56.3,4509.25,41072.93,,
Uttar Pradesh,Jaunpur,District Summary,901.72,399094.0,399094.0,0.0,399094.0,132668.08,11703.92,120964.16,13908.65,166.8,70857.39,84932.85,70.21,16256.56,33683.4,,
Uttar Pradesh,Jhansi,District Summary,764.99,461937.0,461937.0,40463.0,502400.0,73868.49,6773.62,67094.87,3269.2,71.18,40785.0,44125.38,65.77,3439.34,22799.36,,
Uttar Pradesh,Kannauj,District Summary,714.62,214346.0,214346.0,0.0,214346.0,61333.12,5367.39,55965.73,4499.14,14.76,39686.32,44200.21,78.97,4685.36,17293.66,,
Uttar Pradesh,Kanpur Dehat,District Summary,698.44,323737.0,323737.0,0.0,323737.0,83657.5,8190.06,75467.44,4111.62,663.96,49091.04,53866.62,71.38,4202.93,21509.51,,
Uttar Pradesh,Kanpur Nagar,District Summary,709.6,309483.0,309483.0,0.0,309483.0,88577.56,8029.98,80547.58,8111.76,535.91,54848.23,63495.88,78.84,8789.72,16647.22,,
Uttar Pradesh,Kasganj,District Summary,724.77,199388.0,199388.0,0.0,199388.0,72704.23,5597.39,67106.84,4106.84,10.81,42677.2,46794.86,69.74,4325.08,20093.75,,
Uttar Pradesh,Kaushambi,District Summary,846.45,178001.0,178001.0,0.0,178001.0,51580.71,5158.08,46422.63,4677.42,0.91,32752.5,37430.84,80.63,4995.9,10086.25,,
Uttar Pradesh,Kushi Nagar,District Summary,1112.0,287378.0,287378.0,0.0,287378.0,176734.02,16363.1,160370.93,8898.23,131.57,73832.1,82861.9,51.68,9454.67,76952.59,,
Uttar Pradesh,Lakhimpur Kheri,District Summary,1130.0,655505.0,655505.0,0.0,655505.0,229889.55,16870.57,213018.98,12557.45,1468.7,116958.39,130984.54,61.5,13690.09,80901.8,,
Uttar Pradesh,Lalitpur,District Summary,909.89,381942.0,381942.0,121981.0,503923.0,40301.15,3232.68,37068.48,3555.73,3.97,27420.86,30980.56,83.59,3775.9,5867.74,,
Uttar Pradesh,Lucknow,District Summary,879.83,223898.0,244741.0,0.0,244741.0,79503.17,5954.02,73549.15,12871.43,4360.77,32236.86,49469.04,67.3,13872.83,24886.35,,
Uttar Pradesh,Mahoba,District Summary,809.7,229341.0,229341.0,0.0,229341.0,31331.88,2997.62,28334.26,1179.01,0.85,24406.7,25586.56,90.33,1307.98,3303.56,,
Uttar Pradesh,Mahrajganj,District Summary,1389.1,247760.0,247760.0,0.0,247760.0,109146.25,8398.81,100747.44,7295.34,23.66,57252.0,64571.03,64.1,8028.75,35443.01,,
Uttar Pradesh,Mainpuri,District Summary,659.74,276072.0,276072.0,0.0,276072.0,94794.44,9252.2,85542.23,5073.76,11.74,57425.09,62510.59,73.07,5701.56,23899.25,,
Uttar Pradesh,Mathura,District Summary,556.89,336078.0,336078.0,0.0,336078.0,137631.32,11169.44,126461.88,6659.97,1366.78,82458.07,90484.84,71.54,7254.28,36196.35,,
Uttar Pradesh,Maunath Bhanjan,District Summary,897.3,171624.0,171624.0,0.0,171624.0,50952.21,4648.05,46304.16,6574.68,6.8,23423.96,30005.44,64.8,7033.82,15839.58,,
Uttar Pradesh,Meerut,District Summary,856.89,281049.0,281049.0,0.0,281049.0,85963.41,6906.86,79056.55,9675.41,2220.4,49705.97,61601.78,77.9,9951.4,19303.09,,
Uttar Pradesh,Mirzapur,District Summary,988.15,295437.0,295437.0,156648.0,452085.0,62093.24,5687.03,56406.21,6978.19,117.7,28109.66,35205.55,62.42,7534.69,20644.16,,
Uttar Pradesh,Moradabad,District Summary,902.59,224944.0,224944.0,0.0,224944.0,71003.63,6778.6,64225.03,10363.99,1060.88,43541.24,54966.12,85.58,11213.74,12227.21,,
Uttar Pradesh,Muzaffarnagar,District Summary,869.1,275666.0,275666.0,0.0,275666.0,110982.72,8604.33,102378.38,6813.6,2608.92,70987.68,80410.16,78.55,7242.55,22877.1,,
Uttar Pradesh,Pilibhit,District Summary,1223.05,336959.0,336959.0,0.0,336959.0,113031.48,9896.62,103134.87,5538.76,465.81,58531.46,64536.02,62.56,5912.62,38224.98,,
Uttar Pradesh,Pratapgarh,District Summary,837.75,371743.0,371743.0,0.0,371743.0,142629.54,12641.6,129987.95,8389.67,20.76,91157.06,99567.48,76.6,8792.11,30018.03,,
Uttar Pradesh,Prayagraj,District Summary,843.09,499630.0,499630.0,47370.0,547000.0,142926.0,13873.44,129052.56,16878.89,1680.1,75705.96,94264.96,73.04,19425.78,34813.96,,
Uttar Pradesh,Raibareli,District Summary,748.3,392458.0,392458.0,0.0,392458.0,125414.88,9701.08,115713.8,7290.04,72.63,60181.98,67544.66,58.36,8632.7,46826.48,,
Uttar Pradesh,Rampur,District Summary,1051.61,229790.0,229790.0,0.0,229790.0,82332.4,7535.84,74796.55,5324.3,697.34,47107.01,53128.65,71.04,5579.04,21413.16,,
Uttar Pradesh,Saharanpur,District Summary,1102.65,368941.0,368941.0,0.0,368941.0,146960.09,10925.33,136034.76,7433.64,1524.96,122607.02,131565.64,96.72,7811.48,21244.36,,
Uttar Pradesh,Sambhal,District Summary,784.54,241520.0,241520.0,0.0,241520.0,47826.9,3808.98,44017.92,5897.96,1745.39,30737.46,38380.82,87.2,7145.39,4597.47,,
Uttar Pradesh,Sant Kabir Nagar,District Summary,1253.92,164699.0,164699.0,0.0,164699.0,54024.08,5402.42,48621.66,4428.67,204.98,24740.88,29374.5,60.41,5153.78,18522.05,,
Uttar Pradesh,Sant Ravidas Nagar,District Summary,949.6,98305.0,98305.0,3195.0,101500.0,87785.51,8629.38,79156.13,3544.34,311.32,57155.3,61010.96,77.08,3941.74,17747.77,,
Uttar Pradesh,Shahjahanpur,District Summary,898.18,458131.0,458131.0,0.0,458131.0,133433.16,10971.6,122461.55,8615.38,1847.08,66991.02,77453.46,63.24,9240.15,44383.32,,
Uttar Pradesh,Shamli,District Summary,869.1,136126.0,136126.0,0.0,136126.0,47328.44,3508.2,43820.25,3045.94,212.74,40957.06,44215.74,100.9,3110.43,1342.32,,
Uttar Pradesh,Shrawasti,District Summary,1184.51,185782.0,185782.0,0.0,185782.0,58647.84,5522.8,53125.05,3346.4,0.0,27368.62,30715.02,57.81,3632.46,22123.97,,
Uttar Pradesh,Siddharth Nagar,District Summary,1158.57,289503.0,289503.0,0.0,289503.0,96170.32,8287.24,87883.08,7585.17,2.8,48742.78,56330.77,64.1,8320.36,30817.12,,
Uttar Pradesh,Sitapur,District Summary,991.26,574695.0,574695.0,0.0,574695.0,208023.86,18261.78,189762.08,11575.31,593.81,97352.06,109521.18,57.71,12535.41,79280.8,,
Uttar Pradesh,Sonbhadra,District Summary,973.09,241458.89,241458.89,439498.63,680957.52,58686.82,5688.44,52998.37,4442.54,535.41,21534.68,26512.63,50.04,5420.4,25507.89,,
Uttar Pradesh,Sultanpur,District Summary,887.59,265381.0,265381.0,0.0,265381.0,94813.18,9281.48,85531.7,6317.76,2.94,46681.06,53001.78,61.96,7233.62,31614.07,,
Uttar Pradesh,Unnao,District Summary,765.68,460234.0,460234.0,0.0,460234.0,175843.37,16286.4,159556.97,8860.26,1027.45,88131.8,98019.5,61.43,10620.31,59777.4,,
Uttar Pradesh,Varanasi,District Summary,925.78,160532.0,160532.0,0.0,160532.0,52019.44,4935.3,47084.13,10735.05,247.71,30816.32,41799.06,88.77,11116.01,8238.48,,
Uttarakhand,Dehradun,District Summary,2183.6,140841.68,140841.68,46651.07,187492.75,56695.63,5669.56,51026.07,7992.59,712.07,11711.99,20416.65,40.01,8960.32,29641.69,,
Uttarakhand,Haridwar,District Summary,1020.0,159432.38,159432.38,69877.49,229309.87,47416.92,3926.7,43490.22,2543.26,3592.13,22359.84,28495.24,65.53,7590.5,11803.85,,
Uttarakhand,Nainital,District Summary,1711.0,62524.0,62524.0,174023.43,236547.43,29468.66,2946.86,26521.79,3983.56,2041.08,8060.14,14084.78,53.13,4559.62,11860.96,,
Uttarakhand,Udhamsingh Nagar,District Summary,1465.3,267065.99,267065.99,0.0,267065.99,79601.42,4835.99,74765.43,3219.94,6612.59,32366.87,42199.4,56.44,8209.54,27576.44,,
West Bengal,Alipurduar,District Summary,3468.3,0.0,237597.0,0.0,237597.0,129084.49,12908.47,116176.02,3434.94,163.89,9366.1,12964.94,11.16,4226.41,102419.62,,
West Bengal,Bankura,District Summary,1331.85,282638.0,688001.0,0.0,688001.0,159979.54,13365.14,146614.39,8754.69,397.4,50234.5,59386.54,40.51,9615.77,87864.04,,
West Bengal,Birbhum,District Summary,1392.8,382688.0,454809.0,0.0,454809.0,113273.9,9253.17,104020.74,8584.98,1323.26,24501.5,34409.74,33.08,9889.9,68306.08,,
West Bengal,Dakshin Dinajpur,District Summary,1584.9,0.0,224036.0,0.0,224036.0,113682.83,11131.33,102551.5,3963.41,183.62,58067.8,62214.84,60.66,4310.96,39989.1,,
West Bengal,Darjiling,District Summary,3118.5,4570.0,108472.0,114759.0,223231.0,42733.94,4273.4,38460.53,1978.5,733.5,2132.7,4844.68,12.57,2327.24,33267.11,,
West Bengal,Haora,District Summary,1600.0,14185.0,132355.0,0.0,132355.0,22765.32,1708.68,21056.64,2689.52,377.1,1248.0,4314.63,20.49,3858.69,15906.87,,
West Bengal,Hugli,District Summary,1476.1,185330.0,300371.0,0.0,300371.0,129528.82,12138.68,117390.14,10591.7,2040.32,50482.35,63114.36,53.76,12215.94,53205.84,,
West Bengal,Jalpaiguri,District Summary,3468.3,19391.0,340219.0,0.0,340219.0,188368.54,18836.85,169531.68,6463.7,1308.03,12700.5,20472.23,12.08,13566.18,141956.97,,
West Bengal,Jhargram,District Summary,1535.5,172784.0,302060.0,0.0,302060.0,101879.24,8017.56,93861.67,2836.22,194.79,20429.6,23460.62,25.0,3118.18,70119.1,,
West Bengal,Kalimpong,District Summary,3118.5,0.0,21071.0,84289.0,105360.0,4003.56,400.36,3603.2,62.46,2.46,0.0,64.92,1.8,63.28,3537.46,,
West Bengal,Koch Bihar,District Summary,3285.2,0.0,339637.0,0.0,339637.0,207264.04,20726.4,186537.64,7004.06,101.35,79018.8,86124.2,46.17,7997.22,99420.28,,
West Bengal,Kolkatta,District Summary,1623.6,0.0,18700.0,0.0,18700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
West Bengal,Malda,District Summary,1448.45,0.0,323886.0,0.0,323886.0,117837.87,10860.52,106977.36,9166.99,319.48,27805.5,37291.98,34.86,11691.06,67161.3,,
West Bengal,Murshidabad,District Summary,1433.2,197437.0,513338.0,0.0,513338.0,196098.14,15157.8,180940.34,16289.08,408.66,90904.8,107602.52,59.47,113917.96,69140.43,,
West Bengal,Nadia,District Summary,1443.8,0.0,385529.5,0.0,385529.5,192455.19,17818.72,174636.48,10113.64,477.11,135236.0,145826.73,83.52,12111.5,26811.88,,
West Bengal,North 24 Parganas,District Summary,1623.6,0.0,387233.0,0.0,387233.0,152305.79,11662.23,140643.56,12467.02,2176.76,83815.2,98458.98,70.01,15706.12,40722.66,,
West Bengal,Paschim Barddhaman,District Summary,1348.2,15440.0,159165.0,0.0,159165.0,24525.52,2243.2,22282.32,4973.41,3965.27,2602.84,11541.5,51.83,5953.75,10216.92,,
West Bengal,Paschim Medinipur,District Summary,1535.5,157929.5,631677.0,0.0,631677.0,241041.25,22452.22,218589.03,11923.26,1254.27,103186.4,116363.92,53.24,13349.63,101006.25,,
West Bengal,Purba Barddhaman,District Summary,1348.2,460666.0,543269.0,0.0,543269.0,203520.74,18457.48,185063.26,11423.06,966.36,83940.2,96329.62,52.06,12702.42,88964.82,,
West Bengal,Purba Medinipur,District Summary,1669.6,0.0,380995.0,0.0,380995.0,67092.85,6709.29,60383.56,4872.65,19.38,17103.2,21995.26,36.42,6013.46,37247.51,,
West Bengal,Puruliya,District Summary,1363.3,0.0,619313.0,0.0,619313.0,58812.07,5811.68,53000.39,7273.0,138.76,2001.2,9412.96,17.76,8511.3,42349.12,,
West Bengal,South 24 Parganas,District Summary,1623.6,0.0,551301.0,0.0,551301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
West Bengal,Uttar Dinajpur,District Summary,1917.35,18645.0,319283.0,0.0,319283.0,120936.58,10323.8,110612.78,8205.17,577.55,43425.1,52207.84,47.2,10023.26,56586.87,,
