STATE,DISTRICT,ASSESSMENT_UNIT,Rainfall_mm,Recharge_Worthy_Area_Command_ha,Recharge_Worthy_Area_Total_ha,Hilly_Area_ha,Total_Geographical_Area_ha,Annual_Ground_Water_Recharge_ham,Environmental_Flows_ham,Annual_Extractable_Ground_Water_Resource_ham,Extraction_Domestic_ham,Extraction_Industrial_ham,Extraction_Irrigation_ham,Total_Ground_Water_Extraction_ham,Stage_of_Ground_Water_Extraction_pct,Allocation_Domestic_2025_ham,Net_GW_Availability_Future_Use_ham,Major_Quality_Parameters,Other_Quality_Parameters
Rajasthan,Ajmer,District Summary,530.88,0.0,746676.0,140992.0,887668.0,37672.39,3767.24,33905.15,1273.54,176.0,45375.48,46825.06,138.1,1273.54,0.0,,
Rajasthan,Alwar,District Summary,665.35,0.0,720161.0,151885.0,872046.0,82231.63,8156.54,74075.09,13918.75,3413.35,114938.16,132270.24,185.1,13918.75,0.0,,
Rajasthan,Banswara,District Summary,959.65,165543.0,397996.0,55612.0,453608.0,23198.66,2319.88,20878.79,2510.18,4.02,11976.94,14491.15,69.4,2510.18,6568.14,,
Rajasthan,Baran,District Summary,934.44,87123.0,689221.0,6310.0,695531.0,64812.56,6481.28,58331.29,8963.63,102.57,69419.4,78485.61,134.56,8963.63,2560.9,,
Rajasthan,Barmer,District Summary,328.92,0.0,2857858.0,0.0,2857858.0,69301.2,6629.3,62671.9,9094.04,1290.0,43936.4,54320.45,133.26,7423.61,1460.97,,
Rajasthan,Bharatpur,District Summary,655.2,0.0,475152.0,25890.0,501042.0,54294.53,5195.66,49098.86,7894.68,71.85,44140.05,52106.63,120.1,6513.84,0.0,,
Rajasthan,Bhilwara,District Summary,656.67,63193.0,935485.0,110015.0,1045500.0,45380.02,4538.01,40842.02,4828.32,735.87,58246.77,63810.96,156.24,4828.32,743.61,,
Rajasthan,Bikaner,District Summary,334.64,45001.0,3038177.0,0.0,3038177.0,62373.14,6237.32,56135.82,10217.7,82.0,29082.47,39382.18,139.86,10217.7,4713.41,,
Rajasthan,Bundi,District Summary,716.62,150555.0,424018.0,125982.0,550000.0,35352.46,3027.43,32325.02,3920.14,66.0,27786.37,31772.51,98.32,3920.13,5903.76,,
Rajasthan,Chittaurgarh,District Summary,806.04,63932.0,583389.0,204611.0,788000.0,34771.76,3477.2,31294.57,2240.23,107.23,48268.8,50616.3,161.74,2240.24,107.0,,
Rajasthan,Churu,District Summary,211.98,0.0,1379301.0,0.0,1379301.0,22116.61,1799.46,20317.14,3774.18,4.76,16064.29,19843.22,128.88,3774.18,1725.2,,
Rajasthan,Dausa,District Summary,668.13,0.0,308562.0,33455.0,342017.0,27455.44,2745.54,24709.9,11665.8,3.19,47157.2,58826.2,238.17,11665.8,0.0,,
Rajasthan,Dhaulpur,District Summary,715.34,8111.0,248526.0,52379.0,300905.0,28391.18,2839.13,25552.06,4916.83,15.73,30554.34,35486.91,138.89,4916.83,1253.23,,
Rajasthan,Dungarpur,District Summary,786.3,24128.0,263413.0,113664.0,377077.0,22577.86,2248.22,20329.64,903.96,1.11,11597.9,12503.0,61.5,903.96,7826.65,,
Rajasthan,Ganganagar,District Summary,248.52,151118.0,1114159.0,0.0,1114159.0,149159.78,14035.94,135123.84,81.8,39.0,34280.75,34401.5,40.2,43.73,25903.71,,
Rajasthan,Hanumangarh,District Summary,321.44,127850.0,957960.0,0.0,957960.0,98282.16,8564.95,89717.2,1871.8,200.0,46390.2,48462.02,64.7,1545.95,7257.13,,
Rajasthan,Jaipur,District Summary,600.68,0.0,1033472.0,72672.0,1106144.0,78420.14,7498.86,70921.28,42120.72,1662.63,108849.75,152633.12,219.92,42120.71,0.0,,
Rajasthan,Jaisalmer,District Summary,208.8,0.0,3814500.0,0.0,3814500.0,54613.63,5461.38,49152.26,4988.95,6.46,32416.71,37412.12,339.76,4153.18,0.0,,
Rajasthan,Jalor,District Summary,482.09,202500.0,1025153.0,38847.0,1064000.0,60920.06,4991.38,55928.67,4600.64,2.58,78016.83,82620.06,178.16,4418.46,393.29,,
Rajasthan,Jhalawar,District Summary,972.09,32062.0,609626.0,24096.0,633722.0,57304.77,5458.26,51846.51,4145.38,0.41,53050.25,57196.04,110.46,4145.38,6119.09,,
Rajasthan,Jhunjhunu,District Summary,505.12,0.0,539347.0,49237.0,588584.0,25269.08,2441.44,22827.64,14270.35,564.16,35400.87,50235.37,223.57,14207.5,0.0,,
Rajasthan,Jodhpur,District Summary,326.5,0.0,2218972.0,6028.0,2225000.0,51048.36,4692.33,46356.02,16037.32,807.08,80834.81,97679.22,256.69,15816.48,226.16,,
Rajasthan,Karauli,District Summary,703.94,29455.0,390242.0,177048.0,567290.0,35215.13,3454.63,31760.5,5208.68,0.07,43759.32,48968.08,154.32,5208.69,1941.22,,
